"bibliography.congress classifications","bibliography.languages","bibliography.subjects","bibliography.title","bibliography.type","metadata.downloads","metadata.id","metadata.rank","metadata.url","bibliography.author.birth","bibliography.author.death","bibliography.author.name","bibliography.publication.day","bibliography.publication.full","bibliography.publication.month","bibliography.publication.month name","bibliography.publication.year","metadata.formats.total","metadata.formats.types","metrics.difficulty.automated readability index","metrics.difficulty.coleman liau index","metrics.difficulty.dale chall readability score","metrics.difficulty.difficult words","metrics.difficulty.flesch kincaid grade","metrics.difficulty.flesch reading ease","metrics.difficulty.gunning fog","metrics.difficulty.linsear write formula","metrics.difficulty.smog index","metrics.sentiments.polarity","metrics.sentiments.subjectivity","metrics.statistics.average letter per word","metrics.statistics.average sentence length","metrics.statistics.average sentence per word","metrics.statistics.characters","metrics.statistics.polysyllables","metrics.statistics.sentences","metrics.statistics.syllables","metrics.statistics.words"
"DS,PL","tl","Rizal, José, 1861-1896 -- Correspondence","Ang Liham ni Dr. Jose Rizal sa mga Kadalagahan sa Malolos, Bulakan","Text","918","17116","387","https://www.gutenberg.org/ebooks/17116","1861","1896","Rizal, Jose","20","November 20, 2005","11","November","2005","7","image/jpeg,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain","17.3","13.52","10.67","1218","13.8","44.07","12.8","12.0","11.2","-0.25673076923076926","0.38076923076923075","5.26","27.0","0.04","17765","330","121","5565.6","3377"
"","en","","Patty's Fortune","Text","918","51354","388","https://www.gutenberg.org/ebooks/51354","1862","1942","Wells, Carolyn","4","March 4, 2016","3","March","2016","7","text/html,image/jpeg,text/plain; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","6.5","8.97","5.87","5657","4.0","85.69","6.4","6.0","3.1","0.14845810901638637","0.527567462207476","4.73","11.0","0.09","251106","956","4715","68863.5","53071"
"DS","en","Jews -- History","The Wars of the Jews; Or, The History of the Destruction of Jerusalem","Text","917","2850","389","https://www.gutenberg.org/ebooks/2850","37","0","Josephus, Flavius","10","January 10, 2009","1","January","2009","7","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","25.0","10.75","6.82","12009","19.6","39.68","21.200000000000003","52.0","8.8","0.14264952997661032","0.4997430052126347","4.68","48.0","0.02","1103961","6028","4837","323544.6","235699"
"QH","en","Evolution (Biology),Natural selection","The Origin of Species by Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life, 6th Edition","Text","916","2009","390","https://www.gutenberg.org/ebooks/2009","1809","1882","Darwin, Charles","1","December, 1999","12","December","1999","7","text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","20.1","13.7","6.29","13343","16.2","37.98","15.200000000000001","7.0","11.2","0.1001579626284994","0.4379923931781869","5.24","33.0","0.03","1082757","12943","6119","324245.7","206725"
"PR","en","Political refugees -- Drama,Shipwreck victims -- Drama,Islands -- Drama,Tragicomedy,Spirits -- Drama,Fathers and daughters -- Drama,Magicians -- Drama","The Tempest: The Works of William Shakespeare [Cambridge Edition] [9 vols.]","Text","915","23042","391","https://www.gutenberg.org/ebooks/23042","1564","1616","Shakespeare, William","26","October 26, 2007","10","October","2007","6","text/html; charset=utf-8,text/plain; charset=us-ascii,text/plain; charset=utf-8,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","7.8","10.3","6.42","3314","2.9","94.15","6.4","7.0","3.1","0.15207933794379674","0.5202515771265763","4.96","11.0","0.09","115771","226","1985","28371.6","23337"
"","en","","The Ignoble Savages","Text","915","51413","392","https://www.gutenberg.org/ebooks/51413","1922","2000","Smith, Evelyn E.","10","March 10, 2016","3","March","2016","9","application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/html; charset=us-ascii","10.4","12.17","7.26","2079","7.6","65.73","7.6000000000000005","5.0","3.1","0.10393162165363647","0.5299331014480265","5.18","14.0","0.07","57952","464","758","16343.1","11197"
"PA","en","Philosophy, Ancient -- Poetry;Didactic poetry, Latin -- Translations into English","On the Nature of Things","Text","915","785","393","https://www.gutenberg.org/ebooks/785","-95","-55","Lucretius Carus, Titus","1","January, 1997","1","January","1997","6","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","21.6","11.73","7.26","7878","15.0","57.27","17.6","52.0","3.1","0.11009990000047365","0.48680392366302794","4.9","39.0","0.03","361744","1068","1851","98707.5","73789"
"Q","en","Science","The Outline of Science, Vol. 1 (of 4): A Plain Story Simply Told","Text","913","20417","394","https://www.gutenberg.org/ebooks/20417","1861","1933","Thomson, J. Arthur (John Arthur)","22","January 22, 2007","1","January","2007","8","text/plain; charset=us-ascii,text/plain,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook","13.8","12.71","6.53","12147","10.7","57.61","10.8","14.5","8.8","0.12240422809589871","0.47813488103403884","5.12","22.0","0.04","545976","5791","4779","159942.6","106620"
"PR","en","Sisters -- Fiction,Courtship -- Fiction,Social classes -- Fiction,England -- Fiction,Domestic fiction,Young women -- Fiction,Love stories","Pride and Prejudice","Text","912","42671","395","https://www.gutenberg.org/ebooks/42671","1775","1817","Austen, Jane","9","May 9, 2013","5","May","2013","8","text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","10.7","10.79","5.72","9170","7.9","70.13","9.200000000000001","3.5","3.1","0.1360934732442258","0.522053784736605","4.84","18.0","0.05","590445","4548","6563","171244.8","121919"
"PA","en","Medea, consort of Aegeus, King of Athens (Mythological character) -- Drama","Medea of Euripides","Text","910","35451","396","https://www.gutenberg.org/ebooks/35451","0","-406","Euripides","2","March 2, 2011","3","March","2011","7","text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,text/plain","8.6","9.85","6.47","2699","5.6","81.63","8.0","19.5","3.1","0.07936398118228856","0.5303330854658286","4.78","15.0","0.07","97465","288","1359","25731.0","20400"
"PR","en","Venice (Italy) -- Drama;Satire, English;Extortion -- Drama;Inheritance and succession -- Drama;English drama -- 17th century;English drama (Comedy)","Volpone; Or, The Fox","Text","905","4039","397","https://www.gutenberg.org/ebooks/4039","0","1637","Jonson, Ben","1","May, 2003","5","May","2003","7","text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","9.8","12.4","7.22","9298","5.6","76.22","6.800000000000001","28.0","3.1","0.1337532318362266","0.5251933482988376","5.27","12.0","0.08","258773","1378","3833","68290.2","49071"
"","en","Midhat Pasa, 1822-1884;Statesmen -- Turkey -- Biography","The life of Midhat Pasha; a record of his services, political reforms, banishment, and judicial murder","Text","902","51243","398","https://www.gutenberg.org/ebooks/51243","1872","1950","Ali Haydar Mithat","17","February 17, 2016","2","February","2016","6","image/jpeg,text/plain; charset=utf-8,text/html; charset=utf-8,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","18.2","13.59","6.84","10754","13.8","49.49","14.0","14.0","8.8","0.10595072364491392","0.46180602189907394","5.22","30.0","0.03","517455","5891","3294","152673.3","99112"
"PR","en","Venice (Italy) -- Drama,Othello (Fictitious character) -- Drama,Tragedies,Muslims -- Drama,Interracial marriage -- Drama,Jealousy -- Drama","Othello","Text","896","2267","399","https://www.gutenberg.org/ebooks/2267","1564","1616","Shakespeare, William","1","January 1, 1622","1","January","1622","7","text/html,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","7.8","9.5","6.16","3341","4.8","83.66","7.2","13.5","3.1","0.1682967389507401","0.5715932376515467","4.72","13.0","0.07","132501","303","2011","36225.0","28085"
"","en","","The Pride of Jennico: Being a Memoir of Captain Basil Jennico","Text","896","51238","400","https://www.gutenberg.org/ebooks/51238","1858","1920","Castle, Egerton","17","February 17, 2016","2","February","2016","7","text/html,image/jpeg,text/plain; charset=utf-8,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","12.4","10.28","6.66","8892","9.9","65.05","11.200000000000001","6.0","3.1","0.09980531545340751","0.4913910364217397","4.7","23.0","0.04","351110","1904","3204","101256.3","74659"
"","en","","Make Me An Offer","Text","894","51311","401","https://www.gutenberg.org/ebooks/51311","0","0","Blomberg, Con","27","February 27, 2016","2","February","2016","8","image/jpeg,text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain","8.3","9.45","6.57","369","5.6","81.63","8.0","6.5","3.1","0.09548686473344006","0.44570420447132786","4.66","15.0","0.06","12414","54","172","3474.0","2664"
"","en","","People Soup","Text","894","51397","402","https://www.gutenberg.org/ebooks/51397","1934","0","Arkin, Alan","8","March 8, 2016","3","March","2016","8","application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","6.6","9.37","6.51","308","3.7","86.71","6.0","6.5","3.1","-0.0424694264069264","0.5020832044939189","4.85","10.0","0.1","9906","30","196","2637.9","2044"
"PG","en","Gogol, Nikolai Vasilevich, 1809-1852 -- Translations into English;Russia -- Social life and customs -- Fiction;Short stories, Russian -- Translations into English","The Mantle, and Other Stories","Text","892","36238","403","https://www.gutenberg.org/ebooks/36238","1809","1852","Gogol, Nikolai Vasilevich","27","May 27, 2011","5","May","2011","9","image/jpeg,text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","9.4","10.15","6.23","6270","7.2","72.16","8.4","6.0","3.1","0.0725343333753251","0.49633346379121646","4.78","16.0","0.06","263365","1615","3294","75495.6","55097"
"B,PA","en","Classical literature,Political science -- Early works to 1800,Ethics -- Early works to 1800","Gorgias","Text","891","1672","404","https://www.gutenberg.org/ebooks/1672","-428","-348","Plato","1","March, 1999","3","March","1999","7","text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","13.2","10.51","6.32","5614","10.3","64.04","11.600000000000001","14.0","3.1","0.13930847664982415","0.5555531570531568","4.74","24.0","0.04","280841","1731","2411","82976.4","59287"
"PR","en","Ireland -- Drama","The Playboy of the Western World: A Comedy in Three Acts","Text","887","1240","405","https://www.gutenberg.org/ebooks/1240","1871","1909","Synge, J. M. (John Millington)","1","March, 1998","3","March","1998","7","text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","7.2","9.16","5.84","2031","3.6","92.12","7.2","17.5","3.1","0.09242725700831564","0.5002595952486775","4.66","13.0","0.07","95664","144","1527","25218.9","20521"
"","en","","Sea Legs","Text","887","51407","406","https://www.gutenberg.org/ebooks/51407","0","0","Quattrocchi, Frank","9","March 9, 2016","3","March","2016","8","text/plain,image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","6.9","10.01","6.62","2189","4.8","78.25","6.0","6.0","3.1","0.07452684031555484","0.4931669711305334","4.96","10.0","0.1","68820","426","1384","18977.4","13876"
"B,PA","en","Classical literature,Immortality (Philosophy) -- Early works to 1800","Phaedo","Text","885","1658","407","https://www.gutenberg.org/ebooks/1658","-428","-348","Plato","1","March, 1999","3","March","1999","7","text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","14.3","9.87","6.54","4244","11.5","60.99","12.8","11.5","3.1","0.12682288288647267","0.5092090640534725","4.63","27.0","0.04","198125","1336","1536","59043.6","42773"
"PT","de","Authors -- Fiction,Munich (Germany) -- Fiction,Venice (Italy) -- Fiction","Der Tod in Venedig","Text","879","12108","408","https://www.gutenberg.org/ebooks/12108","1875","1955","Mann, Thomas","22","April 22, 2004","4","April","2004","8","text/html,text/plain; charset=us-ascii,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook","19.9","18.63","9.42","7253","12.7","47.12","11.600000000000001","21.0","8.8","0.1250135904947917","0.4471428571428572","6.14","24.0","0.04","153092","1497","1006","41146.2","24952"
"PR","en","Social classes -- Fiction,Poor families -- Fiction,Satire,Deception -- Fiction,London (England) -- Fiction,Inheritance and succession -- Fiction,Love stories","Our Mutual Friend","Text","879","883","409","https://www.gutenberg.org/ebooks/883","1812","1870","Dickens, Charles","27","April 27, 2006","4","April","2006","7","text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","9.7","10.15","5.62","23511","6.4","79.6","8.8","2.0","3.1","0.09167049870945343","0.5019324467486109","4.78","17.0","0.06","1555005","8187","18804","434332.8","325137"
"","en","","The Spicy Sound of Success","Text","878","51351","410","https://www.gutenberg.org/ebooks/51351","1933","2010","Harmon, Jim","3","March 3, 2016","3","March","2016","7","text/plain,image/jpeg,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","7.4","10.42","6.96","999","4.8","78.25","6.0","5.5","3.1","0.06736126194383256","0.5137072974677578","4.98","10.0","0.09","27775","152","516","7746.3","5579"
"HS","en","Boy Scouts of America -- Handbooks, manuals, etc.;Boy Scouts -- United States -- Handbooks, manuals, etc.","Boy Scouts Handbook: The First Edition, 1911","Text","877","29558","411","https://www.gutenberg.org/ebooks/29558","0","0","Boy Scouts of America","1","August 1, 2009","8","August","2009","8","image/jpeg,text/html; charset=iso-8859-1,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook","11.0","11.43","6.14","12975","7.9","70.13","9.200000000000001","6.5","3.1","0.11267245739028409","0.4493683159511486","4.95","18.0","0.05","628536","3812","6954","171567.0","126921"
"B,PA","en","Ethics","The Ethics of Aristotle","Text","877","8438","412","https://www.gutenberg.org/ebooks/8438","-384","-322","Aristotle","1","July, 2005","7","July","2005","6","text/html,application/x-mobipocket-ebook,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","21.1","11.15","6.79","8749","16.1","48.81","17.6","12.0","8.8","0.13710532713531806","0.4799738175984163","4.8","39.0","0.03","542999","4594","2840","160633.8","113184"
"PR","en","Paranormal fiction,Horror tales","The Great God Pan","Text","876","389","413","https://www.gutenberg.org/ebooks/389","1863","1947","Machen, Arthur","1","January, 1996","1","January","1996","7","text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=us-ascii,text/plain","10.4","9.52","6.6","2699","7.6","76.56","10.0","7.0","3.1","0.049536836485273975","0.48118718997052373","4.62","20.0","0.05","100144","474","1079","28710.9","21671"
"BL,JC","en","Rationalism,Philosophy and religion,Political science","The Writings of Thomas Paine — Volume 4 (1794-1796): The Age of Reason","Text","871","3743","414","https://www.gutenberg.org/ebooks/3743","1737","1809","Paine, Thomas","1","February, 2003","2","February","2003","6","text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","17.1","10.92","6.79","7180","13.4","55.92","14.8","28.5","8.8","0.0772943516431888","0.44674067884865276","4.76","32.0","0.03","344702","2819","2248","102130.2","72456"
"DA","en","Great Britain -- Politics and government -- 1760-1820,Political science -- Early works to 1800","The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)","Text","869","15043","415","https://www.gutenberg.org/ebooks/15043","1729","1797","Burke, Edmund","27","March 27, 2005","3","March","2005","8","text/html; charset=utf-8,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","16.3","12.02","6.42","13701","13.0","51.52","13.200000000000001","7.5","8.8","0.11933029057632888","0.5034657195220524","4.95","28.0","0.03","765346","7287","5365","228743.1","154577"
"B","en","Pragmatism","Pragmatism: A New Name for Some Old Ways of Thinking","Text","869","5116","416","https://www.gutenberg.org/ebooks/5116","1842","1910","James, William","1","February, 2004","2","February","2004","7","text/plain,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","12.7","12.07","6.81","7174","9.9","59.64","10.0","14.0","8.8","0.10552511963550727","0.4984448892292672","5.06","20.0","0.05","262817","3165","2532","78679.8","51956"
"","en","","Angel's Egg","Text","868","51408","417","https://www.gutenberg.org/ebooks/51408","1909","1976","Pangborn, Edgar","9","March 9, 2016","3","March","2016","8","image/jpeg,text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","9.5","10.09","6.93","2203","7.2","72.16","8.4","6.5","3.1","0.0963893876735302","0.4950340866349975","4.77","16.0","0.06","66288","428","824","19305.0","13897"
"PR","en","Allegories,Detective and mystery stories,Anarchists -- Fiction,Police -- Fiction,London (England) -- Fiction,Fantasy fiction","The Man Who Was Thursday: A Nightmare","Text","867","1695","418","https://www.gutenberg.org/ebooks/1695","1874","1936","Chesterton, G. K. (Gilbert Keith)","1","April, 1999","4","April","1999","6","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/rdf+xml,application/epub+zip,text/plain","9.2","9.92","6.17","6400","7.2","72.16","8.4","10.5","3.1","0.03172420960594664","0.4951721084253454","4.74","16.0","0.06","275028","1554","3499","78940.8","58081"
"PR","en","English drama,Man-woman relationships -- Drama","A Woman of No Importance","Text","866","854","419","https://www.gutenberg.org/ebooks/854","1854","1900","Wilde, Oscar","16","September 16, 2014","9","September","2014","5","text/plain; charset=utf-8,application/rdf+xml,application/epub+zip,text/html,application/x-mobipocket-ebook","6.6","9.43","5.62","2118","4.8","78.25","6.0","7.5","3.1","0.13515503458785239","0.5585171098569135","4.86","10.0","0.1","108881","375","2167","30342.6","22413"
"PA,D","en","History, Ancient;Greece -- History -- To 146 B.C.","The History of Herodotus — Volume 1","Text","864","2707","420","https://www.gutenberg.org/ebooks/2707","-484","-430","Herodotus","1","July, 2001","7","July","2001","8","application/rdf+xml,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,text/plain","21.7","10.35","6.78","10826","16.1","54.23","18.8","6.5","3.1","0.11259940516573567","0.45914813846862873","4.61","42.0","0.02","746202","3046","3769","214278.3","161693"
"PR","en","Bulgaria -- Drama;Soldiers -- Bulgaria -- Drama;Italians -- Bulgaria -- Drama;Serbo-Bulgarian War, 1885 -- Drama;War -- Drama;Love -- Drama;Man-woman relationships -- Drama","Arms and the Man","Text","864","3618","421","https://www.gutenberg.org/ebooks/3618","1856","1950","Shaw, Bernard","1","January, 2003","1","January","2003","7","application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","7.3","10.07","6.36","3389","5.2","77.23","6.4","11.5","3.1","0.08122478225266004","0.514015707787348","4.92","11.0","0.09","121073","647","2195","33669.9","24592"
"JC","en","Justice -- Early works to 1800,Utopias -- Early works to 1800,Political science -- Early works to 1800","The Republic","Text","863","150","422","https://www.gutenberg.org/ebooks/150","-428","-348","Plato","22","May 22, 2008","5","May","2008","6","text/html,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain","13.7","10.16","6.15","9659","11.1","62.01","12.4","14.0","3.1","0.15102850485774583","0.5455151988484466","4.68","26.0","0.04","581468","3744","4752","170006.4","124348"
"PG","en","Russian drama -- Translations into English;Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English","Plays by Anton Chekhov, Second Series","Text","863","7986","423","https://www.gutenberg.org/ebooks/7986","1860","1904","Chekhov, Anton Pavlovich","1","April, 2005","4","April","2005","8","application/rdf+xml,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook","6.9","9.83","5.71","6687","4.8","78.25","6.0","29.0","3.1","0.06362912506606506","0.5337061856474271","4.93","10.0","0.1","330496","1576","6628","90916.2","67081"
"PR","en","Brothers and sisters -- Drama,Retribution -- Drama,Tragedies,English drama -- 17th century","The Duchess of Malfi","Text","862","2232","424","https://www.gutenberg.org/ebooks/2232","0","0","Webster, John","1","June, 2000","6","June","2000","7","text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/plain","8.9","11.07","6.37","3513","4.8","83.66","7.2","14.5","3.1","0.13144304296519546","0.548490996424959","4.99","13.0","0.07","132336","426","1951","35449.2","26516"
"","en","","Submarines, Mines and Torpedoes in the War","Text","862","51347","425","https://www.gutenberg.org/ebooks/51347","0","0","Domville-Fife, Charles William","3","March 3, 2016","3","March","2016","6","image/jpeg,text/html; charset=utf-8,text/plain; charset=utf-8,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","14.2","13.92","6.52","3158","9.9","59.64","10.0","4.0","8.8","0.07198360968068457","0.44343809182059113","5.38","20.0","0.05","141680","1376","1275","39383.1","26355"
"","en","","Survival Type","Text","859","51395","426","https://www.gutenberg.org/ebooks/51395","1916","2006","Bone, Jesse F. (Jesse Franklin)","8","March 8, 2016","3","March","2016","8","application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","10.3","12.06","7.45","1632","7.6","65.73","7.6000000000000005","5.0","3.1","0.02653566217071577","0.5320101762997201","5.16","14.0","0.07","42639","350","558","12103.2","8266"
"","en","","A Touch of E Flat","Text","851","51304","427","https://www.gutenberg.org/ebooks/51304","0","0","Gibson, Joe","26","February 26, 2016","2","February","2016","8","image/jpeg,text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","9.7","11.19","7.56","1412","6.8","73.17","8.0","10.5","3.1","0.019494962849945795","0.4558858593611576","5.01","15.0","0.07","35118","231","464","9891.9","7015"
"","en","","Fresh Air Fiend","Text","851","51335","428","https://www.gutenberg.org/ebooks/51335","1925","1980","Neville, Kris","1","March 1, 2016","3","March","2016","8","application/x-mobipocket-ebook,image/jpeg,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=us-ascii","7.2","9.21","6.71","719","4.4","84.68","6.800000000000001","4.5","3.1","-0.038113249668900354","0.5225552491648384","4.72","12.0","0.08","21618","113","360","6039.9","4582"
"PS","en","Science fiction,Humorous stories,Short stories","The Eyes Have It","Text","846","31516","429","https://www.gutenberg.org/ebooks/31516","1928","1982","Dick, Philip K.","6","March 6, 2010","3","March","2010","7","text/html; charset=utf-8,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","6.7","9.83","7.58","251","4.4","79.26","5.6000000000000005","5.0","3.1","0.07472142055475388","0.4439714606381272","4.98","9.0","0.11","5637","42","121","1593.9","1133"
"PR","en","Africa -- Fiction;Missing persons -- Fiction;Hunting guides -- Fiction;Treasure troves -- Fiction;Adventure stories;Quatermain, Allan (Fictitious character) -- Fiction;Diamond mines and mining -- Fiction","King Solomon's Mines","Text","840","2166","430","https://www.gutenberg.org/ebooks/2166","1856","1925","Haggard, H. Rider (Henry Rider)","11","October 11, 2005","10","October","2005","8","application/rdf+xml,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,text/plain","10.8","9.4","6.1","7403","7.9","75.54","10.4","11.0","3.1","0.08883109706486544","0.4924664483244004","4.6","21.0","0.05","377979","1423","3897","107452.8","82197"
"PS","en","Fantasy,Short stories","Beyond the Door","Text","840","28644","431","https://www.gutenberg.org/ebooks/28644","1928","1982","Dick, Philip K.","30","April 30, 2009","4","April","2009","7","text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,application/rdf+xml,application/epub+zip,text/html; charset=iso-8859-1,text/plain","5.3","8.15","6.13","321","3.3","87.72","5.6000000000000005","7.5","3.1","0.12390966315966312","0.5126664836664837","4.69","9.0","0.11","11601","30","265","3154.5","2474"
"PG","en","Russia -- Fiction,Peasants -- Russia -- Fiction","What Men Live By, and Other Tales","Text","836","6157","432","https://www.gutenberg.org/ebooks/6157","1828","1910","Tolstoy, Leo, graf","1","July, 2004","7","July","2004","6","text/html; charset=us-ascii,text/plain; charset=us-ascii,text/plain,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook","7.5","8.18","5.9","1756","4.8","89.08","8.4","7.5","3.1","0.11281383844913243","0.493398313233607","4.44","16.0","0.06","83393","150","1175","23346.0","18800"
"PZ,PT","de","Children -- Conduct of life -- Juvenile fiction;Children's poetry, German;Stories in rhyme;Children's stories, German;Picture books for children;Behavior -- Fiction","Der Struwwelpeter: oder lustige Geschichten und drollige Bilder","Text","835","24571","433","https://www.gutenberg.org/ebooks/24571","1809","1894","Hoffmann, Heinrich","11","February 11, 2008","2","February","2008","7","text/plain; charset=utf-8,text/html; charset=iso-8859-1,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook","12.5","14.84","7.82","678","5.2","82.65","7.6000000000000005","11.0","3.1","0.6546875","0.7600000000000001","5.64","14.0","0.07","17290","116","209","4097.7","3066"
"PZ","en","Fables,Aesop's fables -- Adaptations,Folklore","The Aesop for Children: With pictures by Milo Winter","Text","834","19994","434","https://www.gutenberg.org/ebooks/19994","0","0","Aesop","2","December 2, 2006","12","December","2006","8","text/plain; charset=us-ascii,text/plain,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook","8.0","8.64","5.86","2493","4.8","89.08","8.4","26.5","3.1","0.12423749871160501","0.5132730851159423","4.52","16.0","0.06","124215","316","1685","33919.2","27468"
"PG","en","Terrorists -- Russia -- Fiction,Russia -- Fiction,Nihilism -- Fiction,Russia -- Social life and customs -- 1533-1917 -- Fiction","The Possessed (The Devils)","Text","834","8117","435","https://www.gutenberg.org/ebooks/8117","1821","1881","Dostoyevsky, Fyodor","1","May, 2005","5","May","2005","8","application/rdf+xml,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,text/plain","9.0","10.26","5.49","17885","6.8","73.17","8.0","3.5","3.1","0.06583135866934663","0.5134849466463745","4.85","15.0","0.07","1231093","9059","16792","354404.7","253678"
"PZ,PQ","en","Fairy tales","The Fairy Tales of Charles Perrault","Text","832","29021","436","https://www.gutenberg.org/ebooks/29021","1628","1703","Perrault, Charles","1","June 1, 2009","6","June","2009","8","text/html; charset=iso-8859-1,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,text/plain","14.5","10.28","6.77","3215","10.3","69.45","12.8","6.0","3.1","0.15996372332475914","0.5430563044451342","4.7","27.0","0.04","132804","571","1021","37099.8","28250"
